,Marque,Model,Marque_Model,Prix,Mise_en_circulation,Puissance_fiscale,Kilometrage,Carburant,Boite_Vitesse,Gouvernorat
3494,Fiat,Tipo,Fiat Tipo,46000,2020,6,19500,Essence,Manuelle,gabes
3495,Volkswagen,Golf,Volkswagen Golf,26000,2006,6,300000,Diesel,Manuelle,benarous
3496,Volkswagen,Passat,Volkswagen Passat,21000,2003,6,197000,Diesel,Manuelle,benarous
3497,Citroen,C5,Citroen C5,23000,2009,6,230000,Diesel,Manuelle,gafsa
3498,Citroen,C4,Citroen C4,29600,2012,6,167000,Essence,Manuelle,jendouba
3499,Ford,Focus,Ford Focus,17900,1999,6,85000,Essence,Manuelle,benarous
3500,Volkswagen,Passat,Volkswagen Passat,21000,2002,6,195000,Diesel,Manuelle,benarous
3501,Volkswagen,Passat,Volkswagen Passat,21000,2002,6,197000,Diesel,Manuelle,benarous
3502,MERCEDES-BENZ,A180,MERCEDES-BENZ A180,62000,2014,6,124000,Essence,Manuelle,manouba
3503,Citroen,C5,Citroen C5,28000,2010,6,225000,Diesel,Manuelle,medenine
3504,Citroen,C4,Citroen C4,33000,2010,6,250000,Diesel,Automatique,monastir
3505,Ford,Focus,Ford Focus,32000,2012,6,250000,Essence,Manuelle,benarous
3506,Opel,Astra,Opel Astra,25000,2009,6,211000,Essence,Manuelle,benarous
3507,Renault,Fluence,Renault Fluence,36500,2015,6,169000,Diesel,Manuelle,gafsa
3508,Renault,Clio,Renault Clio,16000,2001,6,230000,Essence,Manuelle,benarous
3509,Volkswagen,Caddy,Volkswagen Caddy,22000,2005,6,300000,Diesel,Manuelle,jendouba
3510,Renault,R19,Renault R19,11500,1992,6,240000,Essence,Manuelle,beja
3511,Renault,Megane,Renault Megane,22500,2008,6,180000,Essence,Manuelle,jendouba
3512,Dacia,Duster,Dacia Duster,28990,2015,6,140000,Diesel,Manuelle,monastir
3513,Nissan,Qashqai,Nissan Qashqai,78000,2017,6,75000,Diesel,Manuelle,kasserine
3514,Chevrolet,Aveo,Chevrolet Aveo,18500,2010,6,232000,Essence,Manuelle,medenine
3515,Volkswagen,Passat,Volkswagen Passat,31500,2005,6,220000,Diesel,Manuelle,monastir
3516,MERCEDES-BENZ,A180,MERCEDES-BENZ A180,24000,2007,6,257000,Diesel,Manuelle,benarous
3517,Renault,Symbol,Renault Symbol,30000,2017,6,120000,Essence,Manuelle,tozeur
3518,Volkswagen,Jetta,Volkswagen Jetta,33000,2011,6,224000,Diesel,Manuelle,benarous
3519,Citroen,C4,Citroen C4,20700,2007,6,174000,Diesel,Manuelle,benarous
3520,Dacia,Dokker,Dacia Dokker,22500,2015,6,210000,Diesel,Manuelle,benarous
3521,Volkswagen,Golf,Volkswagen Golf,16000,1999,6,11000,Essence,Manuelle,manouba
3522,Renault,Kangoo,Renault Kangoo,15500,2003,6,235000,Diesel,Manuelle,kasserine
3523,Mazda,Mazda3,Mazda Mazda3,43000,2016,6,120000,Essence,Manuelle,zaghouan
3524,Toyota,Avensis,Toyota Avensis,32000,2015,6,35000,Essence,Automatique,benarous
3525,Citroen,C3,Citroen C3,24500,2010,6,190000,Essence,Manuelle,monastir
3526,Kia,RIO,Kia RIO,24200,2011,6,212500,Essence,Manuelle,bizerte
3527,Renault,Megane,Renault Megane,20000,2009,6,250000,Diesel,Manuelle,kasserine
3528,Citroen,C4,Citroen C4,29500,2012,6,160000,Essence,Manuelle,monastir
3529,Toyota,Avensis,Toyota Avensis,23000,2015,6,128000,Essence,Manuelle,manouba
3530,Citroen,Berlingo,Citroen Berlingo,21000,2009,6,218000,Diesel,Manuelle,gafsa
3531,Audi,A3,Audi A3,65500,2014,6,72000,Essence,Automatique,gafsa
3532,Mazda,Mazda3,Mazda Mazda3,27000,2014,6,140300,Diesel,Manuelle,gafsa
3533,Kia,RIO,Kia RIO,22000,2010,6,171000,Essence,Manuelle,kef
3534,Kia,RIO,Kia RIO,25200,2011,6,212500,Essence,Manuelle,bizerte
3535,Citroen,Berlingo,Citroen Berlingo,21000,2011,6,150000,Diesel,Manuelle,gabes
3536,Opel,Astra,Opel Astra,18500,2006,6,239000,Diesel,Manuelle,benarous
3537,Renault,Kangoo,Renault Kangoo,23000,2011,6,181000,Diesel,Manuelle,gafsa
3538,Kia,RIO,Kia RIO,35500,2012,6,168000,Essence,Automatique,kef
3539,Renault,Scenic,Renault Scenic,19500,2006,6,238000,Diesel,Manuelle,manouba
